2024-02-25 14:21:15,454: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-02-25 14:21:16,374: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-02-25 14:21:16,375: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-02-25 14:21:16,375: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-02-25 14:21:16,375: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-02-25 14:21:16,376: root: INFO: [34mExecuting the on_trading_iteration lifecycle method at 2024-02-25 14:21:16[0m
2024-02-25 14:21:16,376: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:16,394: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,419: root: INFO: [32mNew market order of | 10 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.[0m
2024-02-25 14:21:17,422: root: INFO: [34mTrading iteration ended at 2024-02-25 14:21:17[0m
2024-02-25 14:21:17,422: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-25 14:21:17,422: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,423: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,426: root: INFO: market order of | 10 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-02-25 14:21:17,427: root: INFO: market order of | 10 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-02-25 14:21:17,427: root: INFO: [32mFilled Transaction: buy 10 of SPY at 469.48999023 USD per share[0m
2024-02-25 14:21:17,427: root: INFO: market order of | 10 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-02-25 14:21:17,433: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-25 14:21:17,434: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-02-25 14:21:17,434: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-02-25 14:21:17,435: root: INFO: [34mThe market is not currently open, skipping this trading iteration[0m
2024-02-25 14:21:17,435: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-25 14:21:17,435: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,436: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,438: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-25 14:21:17,438: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,439: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,439: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-25 14:21:17,439: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,440: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,440: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-25 14:21:17,440: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,441: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,443: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-02-25 14:21:17,443: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-25 14:21:17,443: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,444: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,444: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-25 14:21:17,444: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,445: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-25 14:21:17,446: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-02-25 14:21:17,446: root: INFO: MLTrader : Executing the after_market_closes lifecycle method
2024-02-25 14:21:17,446: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-25 14:21:17,446: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
